STNAME,CTYNAME,TOT_POP,NHWA,NHBA,H,NHWA_perc,NHBA_perc,H_perc
Arizona,Gila County,54018,33293,321,10216,61.633159317264614,0.5942463623236699,18.912214447036177
Arizona,Graham County,38837,19803,590,12879,50.99003527563922,1.519169863789685,33.161675721605675
Arizona,Greenlee County,9498,4320,162,4526,45.483259633607084,1.7056222362602649,47.652137292061504
Arizona,La Paz County,21108,11928,185,5982,56.50938032973281,0.8764449497820732,28.339965889710058
Arizona,Maricopa County,4485414,2446089,250899,1408855,54.53429716855568,5.593664263766956,31.409698190624102
Arizona,Mohave County,212181,162835,2352,35919,76.74344074163098,1.1084875648620756,16.928471446547995
Arizona,Navajo County,110924,46190,880,12742,41.641123652230355,0.7933359777865926,11.487144351087231
Arizona,Pima County,1047279,536236,35794,395446,51.20278359443854,3.417809389856953,37.759374531524074
Arizona,Pinal County,462789,259589,21645,142276,56.09230124311512,4.677077458625853,30.74316805282753
Arizona,Santa Cruz County,46498,6966,203,38711,14.981289517828724,0.4365779173297777,83.25304314164052
Arizona,Yavapai County,235099,188477,1713,34641,80.16920531350623,0.7286292157771832,14.734643703290956
Arizona,Yuma County,213787,64453,3975,138131,30.148231651129393,1.8593272743431544,64.61150584460236
Arkansas,Arkansas County,17486,12075,4315,602,69.0552441953563,24.676884364634567,3.44275420336269
Arkansas,Ashley County,19657,13456,4766,1119,68.45398585745536,24.24581573993997,5.692628580149566
Arkansas,Baxter County,41932,39544,173,1102,94.30506534389009,0.4125727368119813,2.628064485357245
Arkansas,Benton County,279141,202658,5068,47630,72.6005853672517,1.815569909114032,17.06306132026467
Arkansas,Boone County,37432,35078,157,988,93.71126309040392,0.4194272280401795,2.639452874545843
Arkansas,Bradley County,10763,5928,2905,1716,55.0775806002044,26.99061599925671,15.943510173743382
Arkansas,Calhoun County,5189,3741,1093,214,72.09481595683175,21.06378878396608,4.12410869146271
Arkansas,Carroll County,28380,22245,162,4306,78.38266384778012,0.5708245243128964,15.172656800563779
Arkansas,Chicot County,10118,3892,5436,600,38.46610001976676,53.726032812808846,5.9300256967780225
Arkansas,Clark County,22320,15247,5413,1075,68.31093189964159,24.251792114695334,4.8163082437275975
Arkansas,Clay County,14551,13809,120,320,94.90069411037045,0.8246855886193389,2.1991615696515705
Arkansas,Cleburne County,24919,23545,101,611,94.48613507765158,0.4053132148160038,2.4519442995304788
Arkansas,Cleveland County,7956,6704,907,197,84.26344896933134,11.40020110608346,2.4761186525892405
Arkansas,Columbia County,23457,13967,8231,659,59.54299356268918,35.08973867075926,2.8093959159312787
Arkansas,Conway County,20846,16970,2350,836,81.40650484505422,11.273145927276218,4.010361700086348
Arkansas,Craighead County,110332,82589,18267,5793,74.85498314179024,16.55639343073632,5.250516622557372
Arkansas,Crawford County,63257,52887,960,5131,83.60655737704921,1.5176186034747143,8.111355265029957
Arkansas,Crittenden County,47955,19608,25976,1331,40.88833281201126,54.16744864977585,2.775518715462413
Arkansas,Cross County,16419,11870,3778,328,72.29429319690601,23.009927522991664,1.9976856081369148
Arkansas,Dallas County,7009,3731,2829,271,53.23155942359822,40.36239121129977,3.8664574118989874
Arkansas,Desha County,11361,5059,5316,731,44.52953085115747,46.791655664114074,6.4342927559193726
Arkansas,Drew County,18219,12044,5092,684,66.10681157033866,27.94884461276689,3.7543224106701785
Arkansas,Faulkner County,126007,100734,15164,5277,79.9431777599657,12.034252065361448,4.187862579063069
Arkansas,Franklin County,17715,16220,151,574,91.56082416031609,0.8523849844764324,3.2401919277448488
Arkansas,Fulton County,12477,11787,85,215,94.46982447703778,0.6812535064518714,1.7231706339664985
Arkansas,Garland County,99386,81164,8480,5900,81.66542571388325,8.532388867647358,5.936449801782948
Arkansas,Grant County,18265,16853,469,552,92.26936764303312,2.5677525321653434,3.0221735559813845
Arkansas,Greene County,45325,41989,798,1343,92.63982349696636,1.7606177606177609,2.963044677330392
Arkansas,Hempstead County,21532,11605,6428,2864,53.89652610068735,29.853241686791755,13.301133197101988
Arkansas,Hot Spring County,33771,27796,3761,1245,82.30730508424391,11.136774155340383,3.686595007550857
Arkansas,Howard County,13202,8354,2709,1738,63.278291168004856,20.519618239660662,13.164672019391
Arkansas,Independence County,37825,33300,869,2514,88.03701255783209,2.297422339722406,6.646397884996696
Arkansas,Izard County,13629,12633,293,346,92.69205370900288,2.149827573556387,2.5387042336194883
Arkansas,Jackson County,16719,12837,2867,503,76.78090794904,17.148154793947008,3.00855314313057
Arkansas,Jefferson County,66824,25575,38109,1473,38.2721776607207,57.028911768227,2.2042978570573446
Arkansas,Johnson County,26578,20904,424,3791,78.6515162916698,1.5953043870870642,14.263676725110994
Arkansas,Lafayette County,6624,3913,2379,195,59.07306763285025,35.91485507246377,2.943840579710145
Arkansas,Lawrence County,16406,15560,195,292,94.84334999390468,1.1885895404120443,1.7798366451298304
Arkansas,Lee County,8857,3655,4787,206,41.26679462571977,54.04764592977306,2.3258439652252454
Arkansas,Lincoln County,13024,8352,3879,542,64.12776412776412,29.78347665847666,4.161547911547912
Arkansas,Little River County,12259,8903,2407,457,72.62419446936946,19.634554205073822,3.7278733991353286
Arkansas,Logan County,21466,19445,290,651,90.58511133886145,1.3509736327215132,3.032702878971397
Arkansas,Lonoke County,73309,62900,4554,3350,85.80119767013602,6.212061274877572,4.569698127105814
Arkansas,Madison County,16576,14802,73,977,89.29777992277994,0.4403957528957529,5.894063706563706
Arkansas,Marion County,16694,15623,96,408,93.5845213849287,0.5750569066730562,2.4439918533604885
Arkansas,Miller County,43257,29554,10821,1552,68.32189009871234,25.0156044108468,3.5878586124789056
Arkansas,Mississippi County,40651,23612,14355,1791,58.08467196378933,35.312784433347275,4.405795675383139
Arkansas,Monroe County,6701,3638,2665,174,54.290404417251146,39.770183554693325,2.596627369049396
Arkansas,Montgomery County,8986,8124,44,407,90.4073002448253,0.4896505675495216,4.529267749833074
Arkansas,Nevada County,8252,5144,2519,389,62.336403296170616,30.525933107125546,4.714008725157536
Arkansas,Newton County,7753,7252,33,151,93.53798529601444,0.4256416870888689,1.9476331742551272
Arkansas,Ouachita County,23382,12797,9297,598,54.73013429133522,39.76135488837568,2.5575228808485164
Arkansas,Perry County,10455,9592,211,324,91.74557627929221,2.0181731229077,3.098995695839312
Arkansas,Phillips County,17782,6121,10969,354,34.422449668203804,61.68597458103701,1.990777190417276
Arkansas,Pike County,10718,9330,356,706,87.04982272812094,3.3215152080612054,6.5870498227281225
Arkansas,Poinsett County,23528,20291,1910,782,86.24192451547094,8.117987079224754,3.3236994219653178
Arkansas,Polk County,19964,17525,104,1314,87.78300941695049,0.5209376878381086,6.581847325185333
Arkansas,Pope County,64072,53427,2005,6152,83.38587838681484,3.1292920464477465,9.601698089649148
Arkansas,Prairie County,8062,6845,917,161,84.90449020094269,11.374348796824611,1.997023071198214
Arkansas,Pulaski County,391911,202287,147037,24493,51.61554536616732,37.51795688306785,6.249633207539466
Arkansas,Randolph County,17958,16590,205,402,92.38222519211493,1.1415525114155252,2.2385566321416634
Arkansas,St. Francis County,24994,9959,13044,1368,39.845562935104425,52.188525246059065,5.473313595262862
Arkansas,Saline County,122437,102117,10064,6292,83.40370966292869,8.219737497651852,5.138969429175821
Arkansas,Scott County,10281,8659,59,816,84.2233245793211,0.5738741367571247,7.936971111759558
Arkansas,Searcy County,7881,7301,27,224,92.64052785179548,0.34259611724400457,2.8422788986169265
Arkansas,Sebastian County,127827,87844,8529,18863,68.72100573431278,6.672299279494943,14.756663302745118
Arkansas,Sevier County,17007,9525,630,5829,56.006350326336225,3.704357029458458,34.27412242017993
Arkansas,Sharp County,17442,16186,163,450,92.79899094140579,0.9345258571264764,2.5799793601651184
Arkansas,Stone County,12506,11821,53,238,94.52262913801377,0.4237965776427315,1.9030865184711336
Arkansas,Union County,38682,23462,12662,1611,60.65353394343622,32.73357117005326,4.16472778036296
Arkansas,Van Buren County,16545,15412,96,522,93.15200967059536,0.5802357207615594,3.1550317316409786
Arkansas,Washington County,239187,168488,8204,40999,70.44195545744545,3.429952296738535,17.140981742318772
Arkansas,White County,78753,69094,3546,3501,87.73507041001612,4.502685611976687,4.4455449316216535
Arkansas,Woodruff County,6320,4372,1630,140,69.17721518987342,25.79113924050633,2.2151898734177213
Arkansas,Yell County,21341,15928,372,4371,74.63567780328944,1.7431235649688397,20.48170188838386
California,Alameda County,1671329,512134,169954,373055,30.642321170756922,10.168793816178624,22.320859627278647
California,Alpine County,1129,692,4,139,61.29317980513729,0.354295837023915,12.311780336581045
California,Amador County,39752,30742,994,5753,77.33447373717046,2.5005031193399074,14.472227812437112
California,Butte County,219186,155415,3526,37731,70.90553228764611,1.6086793864571642,17.214146888943635
California,Calaveras County,45905,36672,420,5967,79.88672257923973,0.914933013832916,12.998584032240494
California,Colusa County,21547,7344,220,13018,34.083631131944124,1.0210238084188052,60.41676335452732
California,Contra Costa County,1153526,492393,100798,300420,42.68590391547309,8.738251240110756,26.04362623816021
California,Del Norte County,27812,17236,917,5596,61.97324895728463,3.2971379260750755,20.120811160650078
California,El Dorado County,192843,148903,1696,25378,77.21462536882333,0.8794719020135549,13.159928024351414
California,Fresno County,999101,286049,46274,537180,28.630638944411025,4.6315637758344765,53.76633593600647
California,Glenn County,28393,14334,240,12079,50.484274292959526,0.8452787658930019,42.5421758884232
California,Humboldt County,135558,100078,1686,16354,73.82670148571091,1.2437480635595095,12.064208678204164
California,Imperial County,181215,18161,4386,154088,10.0217973125845,2.4203294429269104,85.03048864608337
California,Inyo County,18039,10970,184,4230,60.81268362991296,1.0200121957979933,23.44919341426909
California,Kern County,900202,295715,46976,491545,32.84984925605586,5.218384318186364,54.60385557908114
California,Kings County,152940,47938,9662,84514,31.344318033215643,6.317510134693342,55.25957891983785
California,Lake County,64386,44367,1156,14171,68.90783710744572,1.795421364892989,22.009443046625037
California,Lassen County,30573,19796,2432,5910,64.7499427599516,7.954731298858472,19.330782062604264
California,Los Angeles County,10039107,2615947,798279,4881970,26.05756667400796,7.9516933129610035,48.629524518465644
California,Madera County,157327,52197,5016,92483,33.1773948527589,3.1882639343532904,58.78393409904212
California,Marin County,258826,184116,6603,42160,71.13504825635755,2.5511347391683987,16.28893542379823
California,Mariposa County,17203,13645,206,2073,79.31756089054234,1.197465558332849,12.05022379817474
California,Mendocino County,86749,55820,708,22379,64.34656307277317,0.8161477365733322,25.79741553216752
California,Merced County,277680,73546,8191,169442,26.48588303082685,2.9497983290118124,61.02059925093633
California,Modoc County,8841,6825,99,1291,77.19714964370546,1.1197828299966066,14.60242054066282
California,Mono County,14444,9500,105,3875,65.77125450013847,0.7269454444752146,26.82774854610911
California,Monterey County,434061,127497,10919,257721,29.373060468459503,2.5155450501196834,59.3743736479435
California,Napa County,137744,71291,2859,47660,51.756156348007906,2.0755894993611337,34.600418167034505
California,Nevada County,99755,84530,526,9732,84.73760713748686,0.5272918650694199,9.755901959801513
California,Orange County,3175692,1265002,52738,1081091,39.83390076871434,1.6606774208581943,34.042690537999285
California,Placer County,398329,284920,6793,57381,71.52881161050287,1.7053742007235226,14.405428678303613
California,Plumas County,18807,15627,191,1750,83.091402137502,1.0155793055777105,9.305045993513057
California,Riverside County,2470546,841827,153649,1236032,34.07453251224628,6.219232509736714,50.030721953770545
California,Sacramento County,1552058,679726,151589,366764,43.79514167640642,9.766967471576448,23.63081792046432
California,San Benito County,62808,20593,622,38214,32.78722455738122,0.9903197044962424,60.84256782575469
California,San Bernardino County,2180085,595018,176769,1186808,27.293339479882665,8.108353573369847,54.438611338548725
California,San Diego County,3338330,1500865,157113,1140033,44.95855712287281,4.7063352035299095,34.14979945062352
California,San Francisco County,881549,354369,44339,134309,40.1984461442302,5.029669366081749,15.235568300797802
California,San Joaquin County,762148,232123,54281,320334,30.45642053774333,7.122107517175143,42.03041928864209
California,San Luis Obispo County,283111,193943,4903,64860,68.50422625754564,1.731829565082247,22.909742115283407
California,San Mateo County,766573,296547,17442,183978,38.684769747956175,2.275321463187459,24.000062616345733
California,Santa Barbara County,446499,195557,8047,205535,43.79785844985095,1.8022436780373527,46.032577900510425
California,Santa Clara County,1927852,589546,45598,482298,30.58045949585341,2.3652230565416845,25.01737685257997
California,Santa Cruz County,273213,155094,2718,92922,56.76669850995378,0.9948282109562868,34.01082671761593
California,Shasta County,180080,142556,1959,18935,79.16259440248777,1.0878498445135496,10.514771212794312
California,Sierra County,3005,2467,12,381,82.0965058236273,0.39933444259567386,12.678868552412649
California,Siskiyou County,43539,32736,612,5744,75.18776269551438,1.4056363260525044,13.192769700728082
California,Solano County,447643,166389,61264,122103,37.170021646714005,13.685905956308932,27.27687018449971
California,Sonoma County,494336,311002,8021,134954,62.91307936302432,1.6225805929570167,27.30005502330399
California,Stanislaus County,550660,222343,14861,262068,40.3775469436676,2.6987614862165406,47.59161733192896
California,Sutter County,96971,43573,2108,30907,44.934052448670215,2.1738457889472107,31.872415464417195
California,Tehama County,65084,43832,521,16776,67.34681334890296,0.8005039641079221,25.77592034908733
California,Trinity County,12285,10060,70,907,81.88848188848189,0.5698005698005698,7.382987382987384
California,Tulare County,466195,128955,5737,305824,27.661171827239677,1.23060092879589,65.6000171602012
California,Tuolumne County,54478,43425,1007,6906,79.7110760306913,1.8484525863651382,12.67667682367194
California,Ventura County,846006,378024,15115,365835,44.68337103992171,1.7866303548674596,43.24260111630415
California,Yolo County,220500,101321,5407,70392,45.950566893424046,2.452154195011338,31.923809523809524
California,Yuba County,78668,42455,2841,22925,53.967305638887474,3.611379468144607,29.141455229572376
Colorado,Adams County,517421,253680,16842,211139,49.02777428824884,3.254989650594004,40.80603609053362
Colorado,Alamosa County,16233,7648,168,7725,47.11390377625824,1.034928848641656,47.58824616521901
Colorado,Arapahoe County,656590,389920,69867,129681,59.38561354878996,10.640887007112504,19.750681551653237
Colorado,Archuleta County,14029,10775,80,2585,76.80518925083754,0.5702473447858009,18.426117328391193
Colorado,Baca County,3581,3005,29,405,83.9151075118682,0.8098296565205251,11.30969003071768
Colorado,Bent County,5577,3179,391,1798,57.001972386587774,7.0109377801685495,32.23955531647839
Colorado,Boulder County,326196,252479,3214,45579,77.40101043544371,0.9852971832885752,13.972887466431224
Colorado,Broomfield County,70465,53836,898,8964,76.40105016674944,1.274391541900234,12.721209110906123
Colorado,Chaffee County,20356,17341,352,2027,85.18864216938496,1.729219886028689,9.957752014148165
Colorado,Cheyenne County,1831,1534,14,201,83.7793555434189,0.7646095030038229,10.977607864554887
Colorado,Clear Creek County,9700,8517,85,737,87.8041237113402,0.8762886597938144,7.5979381443298974
Colorado,Conejos County,8205,3749,45,4211,45.69165143205361,0.5484460694698355,51.322364411943944
Colorado,Costilla County,3887,1316,33,2378,33.856444558785704,0.8489837921276049,61.178286596346815
Colorado,Crowley County,6061,3191,636,1986,52.64807787493814,10.493317934334268,32.766870153440024
Colorado,Custer County,5068,4548,73,293,89.73954222573009,1.440410418310971,5.781373322809785
Colorado,Delta County,31162,25300,209,4769,81.18862717412232,0.6706886592644888,15.3038957704897
Colorado,Denver County,727211,399284,64632,212984,54.906210164587726,8.887654339662083,29.287785800819844
Colorado,Dolores County,2055,1804,8,130,87.78588807785889,0.3892944038929441,6.326034063260341
Colorado,Douglas County,351154,285552,5197,32066,81.31816809718813,1.4799774457930142,9.131606075966667
Colorado,Eagle County,55127,36923,521,16381,66.97806882289984,0.9450904275581836,29.71502167721805
Colorado,Elbert County,26729,23448,339,2032,87.72494294586403,1.2682853829174303,7.602229787870853
Colorado,El Paso County,720403,494373,43228,127746,68.62450600566629,6.000530258757945,17.732574683892214
Colorado,Fremont County,47839,37711,1827,6441,78.82898890026966,3.819059762954912,13.46391019879178
Colorado,Garfield County,60061,40497,374,17578,67.42644977606099,0.6227002547410133,29.26691197282762
Colorado,Gilpin County,6243,5469,68,441,87.60211436809227,1.0892199263174756,7.063911580970688
Colorado,Grand County,15734,13634,140,1516,86.65310791915596,0.8897928053896021,9.635184949790263
Colorado,Gunnison County,17462,15155,94,1677,86.78845493070669,0.5383117626846868,9.603710915129998
Colorado,Hinsdale County,820,725,12,47,88.41463414634147,1.4634146341463417,5.731707317073172
Colorado,Huerfano County,6897,4248,61,2339,61.59199652022618,0.8844425112367695,33.91329563578368
Colorado,Jackson County,1392,1175,1,175,84.41091954022987,0.07183908045977011,12.571839080459773
Colorado,Jefferson County,582881,453087,7025,90862,77.73233301480063,1.2052202765229951,15.588430571591802
Colorado,Kiowa County,1406,1238,6,118,88.05120910384069,0.4267425320056899,8.392603129445233
Colorado,Kit Carson County,7097,5498,51,1360,77.46935324785119,0.7186134986614061,19.16302663097083
Colorado,Lake County,8127,4959,53,2880,61.01882613510521,0.6521471637750709,35.437430786268
Colorado,La Plata County,56221,44042,315,7179,78.33727610679283,0.5602888600345066,12.769249924405472
Colorado,Larimer County,356899,293115,3667,42525,82.12827718766374,1.02746155074685,11.915135654624978
Colorado,Las Animas County,14506,7839,259,5861,54.03970770715566,1.785468082172894,40.40397077071556
Colorado,Lincoln County,5701,4387,298,842,76.95141203297669,5.2271531310296435,14.769338712506578
Colorado,Logan County,22409,16934,943,3858,75.56785220224019,4.208130661787674,17.21629702351734
Colorado,Mesa County,154210,124994,1087,22846,81.05440632903183,0.7048829518189481,14.814862849361262
Colorado,Mineral County,769,701,2,48,91.15734720416124,0.2600780234070221,6.241872561768532
Colorado,Moffat County,13283,10583,92,2151,79.67326658134456,0.6926146201912218,16.193630956862155
Colorado,Montezuma County,26183,18883,95,3309,72.1193140587404,0.3628308444410495,12.637971202688767
Colorado,Montrose County,42758,32413,201,8922,75.80569717947519,0.4700874690116469,20.866270639412512
Colorado,Morgan County,29068,16702,1087,10601,57.458373469106924,3.739507362047613,36.4696573551672
Colorado,Otero County,18278,9801,208,7719,53.62184046394572,1.1379800853485065,42.23109749425539
Colorado,Ouray County,4952,4468,4,323,90.22617124394183,0.08077544426494346,6.522617124394183
Colorado,Park County,18845,16784,164,1202,89.06341204563543,0.8702573626956752,6.378349694879278
