STNAME,CTYNAME,NHWA,NHBA,NHIA,NHAA,NHNA,H,NHWA_perc,NHBA_perc,NHIA_perc,NHAA_perc,NHNA_perc,H_perc
Alabama,Autauga County,41215,11098,243,646,40,1671,73.77078522973386,19.86432547566629,0.4349460344735005,1.1562762891764664,0.07159605505736634,2.9909252000214788
Alabama,Baldwin County,185747,19215,1507,2346,123,10534,83.20730713063422,8.607559780320202,0.6750763772543609,1.0509151831710224,0.05509913364451651,4.718815234238512
Alabama,Barbour County,11235,11807,95,116,31,1117,45.51162602284696,47.82872883415701,0.3848335088714251,0.46990196872721385,0.12557725026330713,4.524831888519809
Alabama,Bibb County,16663,4719,91,46,6,623,74.40832365812271,21.07260873448245,0.40635884611949624,0.2054121639724926,0.02679289095293382,2.7819951772796285
Alabama,Blount County,50176,872,282,163,21,5582,86.77065679798015,1.507972192439387,0.4876699062705358,0.2818801231280047,0.03631584408397606,9.653097222702591
Alabama,Bullock County,2121,6978,25,16,5,864,20.997920997921,69.08226908226908,0.24750024750024752,0.15840015840015842,0.04950004950004949,8.553608553608555
Alabama,Butler County,9937,8680,72,270,7,289,51.09522830111065,44.63183874948581,0.3702180172768408,1.388317564788153,0.035993418346359524,1.486013986013986
Alabama,Calhoun County,81464,23855,472,987,105,4614,71.7081114387571,20.99819550195854,0.41547467100919844,0.8687997887416927,0.09242550944060561,4.061440957704327
Alabama,Chambers County,18331,13231,82,356,8,871,55.12419558549348,39.787694713417935,0.24658687676670477,1.0705479040115473,0.024057256269922417,2.6192337763878033
Alabama,Cherokee County,24014,1069,159,98,1,449,91.6704840433654,4.080775690945182,0.6069628950984882,0.37410291647579785,0.003817376698732631,1.7140021377309513
Alabama,Chilton County,35481,4412,160,195,14,3636,79.86179886558025,9.930674349509317,0.36013324930224183,0.4389123975871072,0.03151165931394616,8.184028090393445
Alabama,Choctaw County,7091,5234,24,22,0,128,56.32695210104059,41.575979029311306,0.19064262451346414,0.1747557391373421,0.0,1.0167606640718088
Alabama,Clarke County,12309,10569,112,99,5,310,52.10820421640844,44.74218948437897,0.4741342816018966,0.4191008382016763,0.021166709000084664,1.3123359580052494
Alabama,Clay County,10634,1786,66,33,0,435,80.34756327918399,13.494522100491123,0.4986777483944087,0.2493388741972044,0.0,3.2867397053267853
Alabama,Cleburne County,13839,410,67,31,1,387,92.81690140845072,2.749832327297116,0.44936284372904095,0.20791415157612342,0.006706908115358819,2.5955734406438626
Alabama,Coffee County,36338,8930,587,830,72,4171,69.42417179320621,17.060868900691606,1.1214703297543083,1.5857246570631616,0.13755683772114174,7.968744029651141
Alabama,Colbert County,42935,8839,325,367,32,1789,77.72306801107874,16.000796509838707,0.588331130862946,0.6643616154667729,0.05792798826958237,3.23853659419634
Alabama,Conecuh County,6077,5485,59,27,2,277,50.36048727935692,45.45454545454545,0.48893676970249444,0.2237507251180907,0.01657412778652523,2.2955166984337447
Alabama,Coosa County,6945,3253,43,16,1,280,65.13176404389009,30.507361905655067,0.40326362187001785,0.15005158023070433,0.009378223764419021,2.625902654037325
Alabama,Covington County,30774,4581,241,175,2,687,83.06297066047665,12.364706199897434,0.65048989176496,0.4723474317795352,0.0053982563631946884,1.8543010607573756
Alabama,Crenshaw County,9677,3250,84,152,2,333,70.26575660760963,23.598605866976474,0.6099331977926227,1.103688643624746,0.014522218995062447,2.417949462677897
Alabama,Cullman County,76796,1045,461,585,49,3752,91.67701270174769,1.2474930761149843,0.5503294814248878,0.6983573679686754,0.058494890650367684,4.479037341228153
